,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
290,3516309,RUA JOAQUIM BASÍLIO,35163090020.0,,53,226,,
291,3516309,RUA ARCÍLIO FERDEZONI 2,35163090022.0,,102,373,,
292,3516309,RUA ONZE,35163090023.0,,87,328,,
293,3516309,AVENIDA SALVADOR,35163090024.0,,65,269,,
294,3516309,VIELA UM,35163090025.0,,127,490,,
295,3516309,VIELA DOIS,35163090026.0,,182,641,,
296,3516309,AVENIDA SANTA FÉ,35163090027.0,,81,265,,
297,3516309,RUA NOVE DE JULHO,35163090028.0,,117,407,,
298,3516309,RUA VINTE E QUATRO,35163090029.0,,47,170,,
299,3516309,VIELA SEIS,35163090030.0,,107,377,,
300,3518800,VILA FLÓRIDA,35188000013.0,,332,1143,,
301,3518800,JARDIM MONTE SANTO,35188000101.0,,99,346,,
302,3518800,VILA FLORA,35188000032.0,,448,1768,,
303,3518800,ITAPEGICA,35188000103.0,,164,573,,
304,3518800,VILA SÃO RAFAEL / JARDIM VILA GALVÃO II,35188000065.0,,254,979,,
305,3518800,JARDIM VILA GALVÃO II,35188000030.0,,1278,5158,,
306,3518800,JARDIM ROSA DE FRANÇA,35188000122.0,,149,604,,
307,3518800,VALE DOS MACHADOS / PICANÇO,35188000104.0,,311,1188,,
308,3518800,JARDIM FLOR DA MONTANHA - JARDIM SANTA MENA,35188000004.0,,734,2564,,
309,3518800,JARDIM SANTA CECÍLIA II,35188000042.0,,225,763,,
310,3518800,JARDIM SANTA CECÍLIA III,35188000003.0,,54,216,,
311,3518800,VILA RIO,35188000105.0,,87,343,,
312,3518800,NÚCLEO JARDIM CREPÚSCULO,35188000106.0,,618,2041,,
313,3518800,NÚCLEO VALE DOS MACHADOS,35188000107.0,,1083,3819,,
314,3518800,INVASÃO DOS PADRES,35188000108.0,,242,806,,
315,3518800,JARDIM JOVAIA II,35188000010.0,,149,537,,
316,3518800,COCAIA,35188000045.0,,92,325,,
317,3518800,JARDIM BELA VISTA II,35188000014.0,,238,878,,
318,3518800,JARDIM SANTA MARIA / PARQUE DAS LARANJEIRAS / JARDIM SANTA E,35188000047.0,,649,2427,,
319,3518800,JARDIM ALVORADA - JARDIM MONTE CARMELO,35188000067.0,14109.0,299,1126,12983.0,11.530195381882772
320,3518800,JARDIM AMÉRICA - JARDIM BELA VISTA I,35188000031.0,,154,595,,
321,3518800,JARDIM ALVORADA - JARDIM AMÉRICA,35188000046.0,,156,506,,
322,3518800,JARDIM SCYNTILA,35188000026.0,,117,490,,
323,3518800,JARDIM ZIMBARDI,35188000027.0,,86,506,,
324,3518800,JARDIM SÃO FRANCISCO,35188000066.0,,200,755,,
325,3518800,JARDIM SANTA BÁRBARA,35188000028.0,,561,2192,,
326,3518800,HATSUTA,35188000109.0,,223,943,,
327,3518800,JARDIM PALMIRA,35188000084.0,,289,1061,,
328,3518800,JARDIM DIOGO,35188000110.0,,267,964,,
329,3518800,JARDIM ELIZABETH,35188000011.0,3039.0,242,942,2097.0,2.2261146496815285
